ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,64.80 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,84.96 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,80.50 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,225.54 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,298.44 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,932.46 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,12-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,12-Jun-25,117.00 ,EQUIPMENT - GENERAL,V002418847
ROCHDALE BOROUGH COUNCIL,02-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,02-Jun-25,41.67 ,FEES / COMMISSION,V002418852
ROCHDALE BOROUGH COUNCIL,02-Jun-25,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,02-Jun-25,11.95 ,OCCUPATIONAL HEALTH,V002418853
ROCHDALE BOROUGH COUNCIL,02-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02-Jun-25,"6,576.96 ",ACTIVITIES,V002418854
ROCHDALE BOROUGH COUNCIL,02-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,02-Jun-25,274.04 ,ACTIVITIES,V002418854
ROCHDALE BOROUGH COUNCIL,03-Jun-25,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,03-Jun-25,40.00 ,FEES / COMMISSION,V002418855
ROCHDALE BOROUGH COUNCIL,03-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,03-Jun-25,"6,407.13 ",YOUNG PEOPLES RENTS,V002418857
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,"29,771.00 ",ROADWORKS,V002418861
ROCHDALE BOROUGH COUNCIL,03-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,03-Jun-25,623.15 ,YOUNG PEOPLES RENTS,V002418862
ROCHDALE BOROUGH COUNCIL,03-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,03-Jun-25,90.00 ,REPAIRS & ALTS OF BUILDINGS,V002418865
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,507.67 ,CONTRACT HIRE,V002418866
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,82.73 ,CONTRACT HIRE,V002418866
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,"17,683.31 ",CAR PARKING CONTRACT,V002418867
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"18,546.67 ",OTHER EST - SEN PROVISION,V002418868
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"22,356.67 ",OTHER EST - SEN PROVISION,V002418869
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"22,356.67 ",OTHER EST - SEN PROVISION,V002418870
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"17,613.91 ",OTHER EST - SEN PROVISION,V002418871
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"21,091.33 ",OTHER EST - SEN PROVISION,V002418872
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"21,091.33 ",OTHER EST - SEN PROVISION,V002418873
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,"21,091.33 ",OTHER EST - SEN PROVISION,V002418874
ROCHDALE BOROUGH COUNCIL,03-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,03-Jun-25,50.21 ,HYGIENE EQUIPMENT,V002418875
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,"1,586.02 ",CONTRACT HIRE,V002418876
ROCHDALE BOROUGH COUNCIL,03-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,03-Jun-25,197.61 ,REFUSE DISPOSAL,V002418878
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,"1,465.50 ",CONSUMABLES,V002418879
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,"1,465.50 ",CONSUMABLES,V002418880
ROCHDALE BOROUGH COUNCIL,03-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,03-Jun-25,"4,179.30 ",YOUNG PEOPLES RENTS,V002418881
ROCHDALE BOROUGH COUNCIL,02-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,02-Jun-25,"1,460.00 ",BASIC SALARIES,V002418882
ROCHDALE BOROUGH COUNCIL,09-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,09-Jun-25,100.00 ,REPAIRS & ALTS OF BUILDINGS,V002418884
ROCHDALE BOROUGH COUNCIL,09-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,09-Jun-25,"2,100.00 ",REPAIRS & ALTS OF BUILDINGS,V002418885
ROCHDALE BOROUGH COUNCIL,10-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,10-Jun-25,"1,865.00 ",REPAIRS & ALTS OF BUILDINGS,V002418886
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,310.00 ,REPAIRS & ALTS OF BUILDINGS,V002418887
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,89.00 ,REPAIRS & ALTS OF BUILDINGS,V002418888
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,159.00 ,REPAIRS & ALTS OF BUILDINGS,V002418889
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,187.40 ,PROVISIONS,V002418890
ROCHDALE BOROUGH COUNCIL,10-Jun-25,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,10-Jun-25,"3,616.00 ",MINOR BUILDING WORKS,V002418891
ROCHDALE BOROUGH COUNCIL,10-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,10-Jun-25,"3,253.65 ",SPECIFIED MAINTENANCE,V002418893
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,"1,004.67 ","TREES, SHRUBS, PLANTS",V002418894
ROCHDALE BOROUGH COUNCIL,09-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,09-Jun-25,"1,543.44 ",REPAIRS & ALTS OF BUILDINGS,V002418896
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,"20,940.00 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002418897
ROCHDALE BOROUGH COUNCIL,03-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,03-Jun-25,240.00 ,CONSULTANTS FEES,V002418899
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,175.40 ,CONSUMABLES,V002418900
ROCHDALE BOROUGH COUNCIL,02-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02-Jun-25,163.90 ,TAXI HIRE,V002418901
ROCHDALE BOROUGH COUNCIL,06-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,06-Jun-25,"2,505.19 ",MATERIAL - GENERAL,V002418902
ROCHDALE BOROUGH COUNCIL,03-Jun-25,RESOURCES,REDACTED - PERSONAL DATA,03-Jun-25,"3,945.76 ",TRANSACTIONS-EXPENDITURE,V002418906
ROCHDALE BOROUGH COUNCIL,02-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,02-Jun-25,25.20 ,ROADWORKS,V002418907
ROCHDALE BOROUGH COUNCIL,02-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,02-Jun-25,53.42 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,PUBLIC HEALTH,REDACTED - PERSONAL DATA,02-Jun-25,68.94 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,02-Jun-25,710.95 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,02-Jun-25,143.26 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,02-Jun-25,142.92 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,02-Jun-25,"1,001.10 ",FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,02-Jun-25,59.92 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,02-Jun-25,208.31 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,02-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,02-Jun-25,55.09 ,FUEL,V002418924
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,"2,475.00 ",CONSULTANTS FEES,V002418928
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,500.00 ,HOME CARE - CHILDRENS SERVICES,V002418929
ROCHDALE BOROUGH COUNCIL,10-Jun-25,COMMISSIONING AND STATUTORY,REDACTED - PERSONAL DATA,10-Jun-25,"3,625.00 ",CONSULTANT FEES,V002418930
ROCHDALE BOROUGH COUNCIL,10-Jun-25,COMMISSIONING AND STATUTORY,REDACTED - PERSONAL DATA,10-Jun-25,"2,700.00 ",CONSULTANT FEES,V002418932
ROCHDALE BOROUGH COUNCIL,10-Jun-25,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,10-Jun-25,85.00 ,DISPOSAL OF CONFIDENTIAL EQUIPMENT AND W,V002418933
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,"3,676.38 ",YOUNG PEOPLES RENTS,V002418934
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,952.32 ,YOUNGE PERSONS ALLOWANCE,V002418934
ROCHDALE BOROUGH COUNCIL,06-Jun-25,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,06-Jun-25,"1,070.63 ",AGENCY STAFF,V002418935
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,790.00 ,ADVICE/SUPPORT,V002418936
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,"1,185.00 ",ADVICE/SUPPORT,V002418937
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,"1,185.00 ",ADVICE/SUPPORT,V002418938
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,"1,777.50 ",ADVICE/SUPPORT,V002418939
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,"26,023.33 ",OTHER EST - SEN PROVISION,V002418940
ROCHDALE BOROUGH COUNCIL,10-Jun-25,RESOURCES,REDACTED - PERSONAL DATA,10-Jun-25,780.00 ,EQUIPMENT - GENERAL,V002418941
ROCHDALE BOROUGH COUNCIL,10-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,10-Jun-25,390.00 ,REPAIRS & ALTS OF BUILDINGS,V002418941
ROCHDALE BOROUGH COUNCIL,18-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,18-Jun-25,"1,067.79 ",ADVERTISING,V002418942
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,"3,595.00 ",FEES / COMMISSION,V002418943
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,649.87 ,FEES / COMMISSION,V002418944
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,649.87 ,FEES / COMMISSION,V002418944
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,92.21 ,PROVISIONS,V002418945
ROCHDALE BOROUGH COUNCIL,13-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,13-Jun-25,"1,063.70 ",EXPERT REPORTS,V002418947
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,"1,063.70 ",EXPERT REPORTS,V002418948
ROCHDALE BOROUGH COUNCIL,10-Jun-25,ADULT CARE LCO FUNCTIONS,REDACTED - PERSONAL DATA,10-Jun-25,"4,615.00 ",TRANSACTIONS-EXPENDITURE,V002418949
ROCHDALE BOROUGH COUNCIL,10-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,10-Jun-25,"1,105.00 ",PROPERTY FEES ELEMENT,V002418950
ROCHDALE BOROUGH COUNCIL,10-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,10-Jun-25,29.95 ,VANDALISM,V002418951
ROCHDALE BOROUGH COUNCIL,06-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,06-Jun-25,235.20 ,MATERIAL - GENERAL,V002418952
ROCHDALE BOROUGH COUNCIL,11-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,11-Jun-25,740.00 ,REPAIRS & ALTS OF BUILDINGS,V002418954
ROCHDALE BOROUGH COUNCIL,11-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,11-Jun-25,400.00 ,REPAIRS & ALTS OF BUILDINGS,V002418954
ROCHDALE BOROUGH COUNCIL,10-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,10-Jun-25,236.04 ,PROVISIONS,V002418955
ROCHDALE BOROUGH COUNCIL,03-Jun-25,EARLY HELP AND SCHOOLS,REDACTED - PERSONAL DATA,03-Jun-25,468.80 ,OTHER LA`S - SEN PROVISION,V002418958
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,993.18 ,FOSTER PARENTS BASIC ALLOWANCE,V002418966
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,924.69 ,FOSTER PARENTS BASIC ALLOWANCE,V002418967
ROCHDALE BOROUGH COUNCIL,11-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,11-Jun-25,"21,035.67 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002418972
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,"20,592.00 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002418973
ROCHDALE BOROUGH COUNCIL,03-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,03-Jun-25,105.60 ,CONTRACTS,V002418975
ROCHDALE BOROUGH COUNCIL,10-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,10-Jun-25,"24,168.39 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002418976
ROCHDALE BOROUGH COUNCIL,20-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,20-Jun-25,17.65 ,TELEPHONE EXPENDITURE,V002418989
ROCHDALE BOROUGH COUNCIL,19-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,19-Jun-25,1.03 ,TELEPHONE EXPENDITURE,V002418990
ROCHDALE BOROUGH COUNCIL,19-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,19-Jun-25,2.29 ,TELEPHONE EXPENDITURE,V002418991
ROCHDALE BOROUGH COUNCIL,17-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,17-Jun-25,296.42 ,REFUSE DISPOSAL,V002419011
ROCHDALE BOROUGH COUNCIL,20-Jun-25,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,20-Jun-25,-38.00 ,REPAIRS & ALTS OF BUILDINGS,V002419015
ROCHDALE BOROUGH COUNCIL,16-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,16-Jun-25,"-6,435.00 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002419023
ROCHDALE BOROUGH COUNCIL,27-Jun-25,PROPERTY AND HIGHWAYS,REDACTED - PERSONAL DATA,27-Jun-25,-572.00 ,MATERIAL - GENERAL,V002419024
ROCHDALE BOROUGH COUNCIL,16-Jun-25,CHILDREN’S SOCIAL CARE,REDACTED - PERSONAL DATA,16-Jun-25,"-38,360.00 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002419025
ROCHDALE BOROUGH COUNCIL,09-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,09-Jun-25,"-4,373.93 ",REPAIRS & ALTS OF BUILDINGS,V002419026
ROCHDALE BOROUGH COUNCIL,30-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,30-Jun-25,-42.00 ,PROVISIONS,V002419027
ROCHDALE BOROUGH COUNCIL,03-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,03-Jun-25,-6.10 ,PROVISIONS,V002419032
ROCHDALE BOROUGH COUNCIL,10-Jun-25,RESOURCES,REDACTED - PERSONAL DATA,10-Jun-25,41.85 ,TRANSLATION & INTERPRETATION,V002419034
ROCHDALE BOROUGH COUNCIL,11-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,11-Jun-25,16.66 ,BUILDING MATERIALS,V002419037
ROCHDALE BOROUGH COUNCIL,06-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,06-Jun-25,51.20 ,BUILDING MATERIALS,V002419049
ROCHDALE BOROUGH COUNCIL,06-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,06-Jun-25,28.73 ,BUILDING MATERIALS,V002419050
